Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
7403,20070330,20260112,672,47.7955,10.0325,Leutkirch-Herlazhofen,Baden-Württemberg
7410,20110201,20260112,350,50.7513,9.0224,Neu-Ulrichstein,Hessen
7412,20061001,20260112,340,50.0083,9.4238,Neuhütten/Spessart,Bayern
7416,20081001,20260112,541,51.0112,8.2733,Birkelbach,Nordrhein-Westfalen
10510,20090101,20260112,244,48.8059,9.5046,Winterbach/Remstal,Baden-Württemberg
13674,20070801,20260112,237,49.2943,8.9053,Waibstadt,Baden-Württemberg
13676,20100101,20260112,378,48.8608,12.0323,Langquaid-Oberschneidhart,Bayern
13693,20080828,20260112,70,51.9258,8.3111,Gütersloh/Ems,Nordrhein-Westfalen
13701,20080901,20260112,250,51.1945,9.9885,Eschwege-Eltmannshausen,Hessen
13711,20161201,20260112,289,50.682,11.515,Krölpa-Rockendorf,Thüringen
13900,20081001,20260112,145,50.2688,9.358,Soden,Hessen
13901,20081201,20260112,41,51.7343,7.1998,Haltern (Wasserwerk),Nordrhein-Westfalen
13904,20080915,20100426,3,55,6.3333,Nordseeboje 2,Hamburg
13932,20081101,20260112,388,48.3617,13.1938,Rotthalmünster (Landwirtschaftsamt),Bayern
13952,20090201,20260112,278,51.4089,8.0094,Arnsberg-Müschede,Nordrhein-Westfalen
13965,20081201,20260112,619,48.2639,8.8134,Balingen-Bronnhaupten,Baden-Württemberg
14006,20201104,20260112,145,49.3683,8.1854,Mußbach (Neustadt),Rheinland-Pfalz
14007,20200921,20260112,164,49.9596,8.236,Mainz-Marienborn,Rheinland-Pfalz
14008,20201104,20260112,245,49.8228,8.1044,Rommersheim (Eichenhof),Rheinland-Pfalz
14009,20200930,20260112,110,49.401,8.3478,Schifferstadt,Rheinland-Pfalz
14010,20201104,20260112,274,50.5582,7.0317,Esch/Swistbach,Rheinland-Pfalz
14011,20201104,20260112,309,50.4528,7.6528,Grenzau,Rheinland-Pfalz
14012,20230313,20260112,184,49.8598,7.8487,Kreuznach,Rheinland-Pfalz
14013,20201104,20260112,92,49.8447,8.3492,Oppenheim/ Rhein,Rheinland-Pfalz
14014,20200930,20260112,224,49.7271,8.1168,Kettenheim (Eichhof),Rheinland-Pfalz
14015,20201104,20260112,388,50.1587,7.4972,Gondershausen,Rheinland-Pfalz
14016,20201104,20260112,98,49.5871,8.3414,Kleinniedesheim,Rheinland-Pfalz
14017,20201104,20260112,144,49.1582,8.2536,Herxheimweyher,Rheinland-Pfalz
14018,20201104,20260112,180,49.5189,8.1875,Dackenheim/Pfalz,Rheinland-Pfalz
14019,20201104,20260112,129,49.2449,8.2912,Lustadt,Rheinland-Pfalz
14020,20201104,20260112,195,50.2558,7.3535,Münstermaifeld,Rheinland-Pfalz
14021,20201104,20260112,209,49.827,8.332,Dienheim,Rheinland-Pfalz
